Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-0.570525,-10.1237,-0.0169117,-42.7965,-32.7597,45.601,20.733,34.7235,-45.9229,-16.2598,-22.4301,-122.816,430.927,31.1469,622.892
2,0,0.166496,-11.1266,6.05997,-42.8679,-32.88,46.2053,20.9448,34.8436,-45.9045,-16.312,-22.6125,-122.528,430.804,31.0231,622.993
3,0,0.143182,-11.0246,4.27502,-42.7839,-32.7622,46.1251,20.9674,35.1932,-45.5526,-16.3041,-22.7579,-122.341,430.727,31.0443,623.105
4,0,0.284827,-11.3674,3.3114,-42.6066,-32.5238,46.2183,21.1481,35.465,-45.3088,-16.2321,-22.8632,-122.127,430.616,31.1245,623.194
5,0,12.2461,-37.5301,-118.149,-23.9095,-8.27663,47.5188,24.3219,41.6645,-50.5766,-13.8188,-21.3783,-123.757,431.391,32.9096,623.063
6,0,6.66265,-53.8265,-18.0065,-12.4588,13.0621,40.147,7.63503,52.6535,-92.4672,-15.9809,-23.4669,-121.616,430.5,31.1839,623.112
7,0,6.50055,-54.2361,-15.6806,-12.2593,13.5997,39.9465,7.00122,53.0947,-92.873,-16.0206,-23.5661,-121.537,430.368,31.2554,623.108
8,0,6.43167,-54.9939,-13.5118,-11.9653,14.693,39.5819,6.34507,53.8039,-93.8919,-16.0206,-23.6757,-121.307,430.226,31.3023,623.298
9,0,6.34234,-55.1144,-10.9413,-11.7318,14.1977,39.8604,6.36637,53.7861,-93.314,-15.9579,-23.9653,-121.259,430.1,31.3678,623.333
10,0,6.17149,-54.7197,-11.4809,-11.8489,14.6283,39.5202,6.02686,53.9934,-92.904,-15.9597,-24.1363,-121.241,429.982,31.4834,623.64
11,0,-0.479364,-27.6004,-44.7867,13.7399,3.85615,39.6752,5.84465,54.373,-95.7164,-15.8931,-24.1641,-121.189,429.903,31.3898,624.798
12,0,-1.53136,-26.8245,-34.8573,15.3896,3.17356,37.7195,5.191,54.7048,-96.6836,-15.9167,-24.4845,-121.025,429.795,31.5042,624.711
13,0,-1.94814,-27.204,-24.3647,15.8817,2.62983,36.1696,4.78051,54.8322,-96.7075,-15.9152,-24.7733,-121.002,429.639,31.5925,624.652
14,0,-2.14531,-24.0828,-9.62854,23.8519,23.1795,31.4094,-0.0723493,59.4029,-111.291,-15.1386,-25.3418,-121.359,429.829,32.0034,624.229
15,0,-1.94537,-24.9224,-8.32456,22.2338,27.5676,30.9718,-1.60859,60.3003,-112.758,-15.1758,-25.5882,-121.145,429.641,32.1154,624.322
16,0,6.5071,-34.9625,-20.4677,20.0962,33.3954,22.3099,-6.45373,63.1157,-119.183,-15.98,-25.826,-120.072,429.095,32.1052,624.025
17,0,6.53466,-34.7976,-14.1877,20.6377,31.1854,19.65,-6.78272,63.0869,-119.32,-15.9415,-26.124,-119.92,428.974,32.2959,624.193
18,0,6.15009,-33.1241,-3.84868,20.4609,30.3062,18.0406,-7.07934,63.2318,-119.398,-15.9875,-26.4641,-119.67,428.76,32.4191,624.215
