Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
10356.0,0.0,313.936,-59.0568,560.156,313.458,-6.94356,384.269,312.535,43.7234,234.279,239.135,214.219,88.288,266.842,151.691,145.96,262.64,260.872,44.00236,152.19,247.158,77.7139,126.046,294.529,66.7545
10357.0,0.0,313.757,-59.563,560.243,314.177,-7.77622,384.63,314.128,43.4033,234.773,242.234,214.03,89.1096,269.652,151.462,146.21,266.657,261.039,45.47648,156.23,247.685,77.5056,129.552,295.074,67.3674
10358.0,0.0,313.68,-60.1746,560.694,315.068,-8.51824,384.962,316.148,42.7622,235.18,245.544,214.129,89.694,272.188,151.087,147.315,270.615,261.025,46.9506,159.371,248.029,77.3375,133.191,295.571,67.1348
10359.0,0.0,313.641,-60.5832,561.077,315.986,-9.22447,385.356,318.167,42.0556,235.991,248.921,213.877,90.3351,274.71,150.653,146.628,274.548,261.059,48.48016,163.256,248.633,77.818,137.892,296.438,67.3618
10360.0,0.0,313.551,-60.8668,561.422,316.798,-9.51837,385.266,320.07,41.598,236.118,253.07,214.455,91.4637,278.379,150.499,147.86849999999998,278.919,261.16,50.00972,167.315,249.192,76.9859,141.808,297.218,66.4991
10361.0,0.0,313.544,-61.1627,562.109,317.71,-10.1131,385.566,321.741,41.1104,236.015,256.872,214.209,91.6627,281.373,150.485,149.109,283.47,261.217,51.53928,171.664,249.807,76.3836,146.434,298.18,65.4918
10362.0,0.0,313.325,-61.4385,562.061,318.766,-10.4717,386.338,324.278,40.3007,236.996,261.017,214.282,92.6456,284.99,150.609,149.934,287.981,261.377,53.06884,175.528,250.383,76.5839,151.265,298.873,65.2309
10363.0,0.0,313.16,-61.683,562.206,319.701,-10.9286,387.311,326.366,39.5906,237.977,264.938,214.351,93.2278,288.448,150.135,149.683,292.695,261.546,54.5984,180.003,251.085,76.4641,155.934,299.634,64.7136
10364.0,0.0,312.999,-61.9312,562.465,320.454,-11.2636,387.684,328.082,39.3661,238.327,269.019,214.321,94.187,292.132,149.639,150.487,297.485,261.542,55.6826,184.712,251.942,76.2478,161.243,300.804,65.5468
10365.0,0.0,312.915,-62.1412,562.778,321.01,-11.8643,387.478,330.37,38.7727,238.956,273.738,214.589,94.757,295.288,149.83,150.257,302.434,261.519,56.7406,189.466,252.782,75.8628,166.858,302.237,64.6
10366.0,0.0,312.752,-62.4875,563.134,321.734,-12.3909,387.526,332.607,38.075,239.909,278.16,214.827,95.276,298.986,150.051,151.134,307.628,261.452,57.88725,194.24,253.601,75.4749,172.085,303.338,63.6679
10367.0,0.0,312.665,-62.819,563.424,322.729,-12.9079,388.346,334.817,37.9022,240.331,282.991,215.08,95.9129,302.512,150.232,152.011,312.981,261.421,59.0339,199.109,254.492,75.6555,177.817,304.536,62.9815
