Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
1,0,398.293,-83.2025,482.28848,333.96802,0.7022374,331.563,283.943,70.1502,195.344,162.464,219.676,60.128532,207.056,166.0,112.478004,193.64,263.406,31.0361,79.541115,239.672,29.548498,44.480587,283.157,17.7364
2,0,399.01697,-81.89683,483.57758,337.58704,1.8611706,331.6002,288.04333,69.36389,196.61337,169.60919,219.9772,60.30534,216.60278,166.39331,112.12518,196.45108,264.0483,31.719257,84.34274,240.51512,30.982758,55.288857,283.8068,18.66459
3,0,400.0059,-80.82566,484.76483,340.61472,2.4603739,332.1715,293.43948,69.14811,197.13257,176.84866,220.33128,60.353428,223.03548,166.54065,112.192604,202.92882,264.22546,32.17055,92.04583,241.17662,32.12212,64.95986,284.4955,19.39503
4,0,401.29752,-79.99601,485.89172,344.04736,2.8809667,332.86255,299.0512,68.91714,197.45222,184.69438,220.62743,60.573093,229.97147,166.6149,112.31925,210.3911,264.16318,32.49468,100.09185,241.82419,33.163628,74.58867,285.18927,20.098127
5,0,402.89328,-79.346756,487.00287,347.7986,3.1471841,333.5892,304.9513,68.59909,197.70824,192.99896,220.85172,60.908432,237.36044,166.6478,112.47543,218.35486,263.8946,32.74096,108.46952,242.45683,34.158253,84.33209,285.82986,20.783327
6,0,404.7697,-78.840004,488.1179,351.82385,3.2822344,334.33353,311.12302,68.19444,197.94505,201.6644,221.00066,61.32545,245.1018,166.63507,112.656685,226.70967,263.44623,32.933056,117.16899,243.06868,35.121555,94.26243,286.38504,21.450272
7,0,406.90552,-78.45306,489.24692,356.0955,3.3069375,335.0907,317.5408,67.71113,198.17996,210.63742,221.07321,61.804558,253.13828,166.56973,112.8628,235.3994,262.83853,33.083244,126.172775,243.65508,36.060677,104.40323,286.83615,22.099775
8,0,409.32532,-78.11459,490.39227,360.61127,3.227401,335.86142,324.19104,67.15697,198.44485,219.94066,221.05385,62.320557,261.46082,166.43605,113.076645,244.47282,262.11768,33.224987,135.41249,244.22394,36.968422,114.61297,287.17755,22.755579
9,0,411.86172,-77.78032,491.57104,365.33716,3.0438073,336.60318,331.13116,66.54813,198.74052,229.52054,220.96974,62.916332,270.0529,166.25543,113.35509,253.8891,261.31247,33.36373,145.07501,244.76968,37.83807,124.98886,287.43512,23.443754
10,0,414.50616,-77.46928,492.7749,370.25192,2.7958574,337.33304,338.31693,65.88826,199.05426,239.37285,220.82928,63.580784,278.90344,166.01906,113.68062,263.61368,260.4388,33.504128,155.07013,245.30243,38.688267,135.57343,287.59808,24.158915
11,0,417.24228,-77.18137,493.9975,375.34564,2.4976263,338.05887,345.73035,65.1773,199.37767,249.4892,220.63475,64.30303,288.00714,165.7266,114.04653,273.61716,259.50568,33.645363,165.37808,245.82251,39.53331,146.3651,287.66287,24.901659
12,0,420.03906,-76.90907,495.2305,380.61322,2.1562722,338.78815,353.36908,64.413414,199.70256,259.87335,220.3839,65.07897,297.3683,165.37857,114.45076,283.88882,258.5248,33.77972,175.99948,246.32295,40.387413,157.34909,287.63416,25.676765
13,0,422.89798,-76.63934,496.47476,386.02893,1.7723727,339.51617,361.19437,63.616314,200.03024,270.47983,220.08438,65.90349,306.94067,164.98122,114.89114,294.39792,257.4975,33.908356,186.86795,246.7947,41.247803,168.55562,287.51797,26.479576
14,0,425.78903,-76.34813,497.72763,391.5689,1.3404403,340.24005,369.1205,62.85752,200.35556,281.1259,219.74889,66.76033,316.55566,164.55403,115.38159,305.0592,256.4251,34.022167,197.78833,247.20947,42.08601,180.00282,287.36203,27.28951
15,0,428.76413,-76.03423,498.99783,397.07843,0.94553524,340.9891,377.0413,62.1656,200.73184,291.67358,219.42374,67.69412,326.06332,164.12984,115.940125,315.56824,255.3726,34.17425,208.66057,247.58038,43.029785,191.29803,287.18835,28.194174
16,0,431.81448,-75.65995,500.2891,402.47366,0.6444173,341.79156,384.81445,61.58937,201.20305,301.92245,219.15,68.74165,335.27057,163.74635,116.610756,325.69952,254.40811,34.414158,219.23053,247.92014,44.19002,202.15213,287.02347,29.28005
17,0,434.87054,-75.226036,501.5935,407.8315,0.42648208,342.63885,392.44904,61.102333,201.75229,311.88315,218.91307,69.884995,344.22983,163.40439,117.39552,335.51465,253.5282,34.72716,229.4337,248.24136,45.538887,212.59354,286.86258,30.52709
18,0,437.91278,-74.734604,502.9088,413.15012,0.2830698,343.52383,399.9652,60.69069,202.36578,321.5835,218.70854,71.11714,352.96835,163.10052,118.2819,345.03616,252.72704,35.102238,239.295,248.54808,47.05182,222.63364,286.69913,31.918268
19,0,440.92514,-74.185425,504.234,418.42432,0.2067481,344.4395,407.37125,60.34501,203.03209,331.0426,218.53401,72.431366,361.50464,162.83156,119.258064,354.28482,251.99966,35.530704,248.84134,248.8425,48.707363,232.29445,286.52664,33.438137
20,0,443.8938,-73.57805,505.56848,423.64883,0.19131847,345.37967,414.67218,60.057484,203.74117,340.27518,218.38782,73.820946,369.85272,162.59499,120.31325,363.27713,251.34213,36.005375,258.09662,249.12659,50.487183,241.60052,286.33984,35.07301
21,0,446.8067,-72.91228,506.91162,428.81857,0.23162146,346.3385,421.87183,59.82141,204.48402,349.29376,218.26898,75.279434,378.02377,162.38895,121.43762,372.0276,250.75119,36.52022,267.08176,249.40219,52.375443,250.57579,286.13443,36.81085
22,0,449.65417,-72.188194,508.26297,433.9292,0.32312363,347.31088,428.9736,59.63095,205.25247,358.10916,218.17682,76.80082,386.02798,162.21208,122.622086,380.54916,250.22415,37.070133,275.81537,249.67128,54.358444,259.24268,285.9074,38.641125
23,0,452.37677,-71.420296,509.629,438.99765,0.46755078,348.27243,436.08917,59.484707,206.04492,366.71497,218.10634,78.4066,393.8957,162.06673,123.869804,388.78677,249.7557,37.646378,284.3041,249.93108,56.4123,267.52716,285.68195,40.544445
