Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm

Segments
200
,,Mathew:HandOuter,,,,,,Mathew:LowerArm,,,,,,Mathew:Thumb,,,,,,Mathew:UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
200
,,Mathew:shoulder,,,Mathew:shoulderElbowSupport,,,Mathew:elbow,,,Mathew:wrist,,,Mathew:elbowWrist,,,Mathew:Triangle1,,,Mathew:Triangle2,,,Mathew:ThumbTip,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-377.271,537.077,558.218,-359.967,537.445,463.087,-323.134,511.621,346.08,-156.345,580.94,129.118,-234.533,535.484,207.925,-123.063,545.148,70.4658,-137.069,647.692,68.8288,-84.8851,647.861,16.7152
2,0,-377.296,537.322,558.208,-360.036,537.783,463.152,-323.071,511.841,346.132,-156.314,581.076,129.06,-234.527,535.626,207.964,-123.038,545.365,70.3988,-136.963,647.807,68.9722,-84.9328,647.891,16.5279
3,0,-377.393,537.531,558.236,-360.07,538.016,463.135,-323.081,512.111,346.14,-156.304,581.257,129.115,-234.495,535.86,207.938,-122.973,545.508,70.4758,-136.895,647.957,68.992,-84.8941,647.994,16.3799
4,0,-377.401,537.75,558.264,-360.133,538.242,463.292,-322.968,512.327,346.21,-156.291,581.411,129.152,-234.452,536.071,207.932,-123.003,545.715,70.5206,-136.747,648.036,69.1137,-84.7528,648.046,16.7742
5,0,-377.421,537.994,558.265,-360.138,538.464,463.305,-322.912,512.566,346.249,-156.309,581.544,129.122,-234.458,536.319,207.963,-123.065,545.974,70.5443,-136.673,648.149,69.1521,-84.5668,648.173,17.1192
6,0,-377.416,538.197,558.235,-360.132,538.516,463.292,-322.924,512.736,346.283,-156.345,581.807,129.078,-234.436,536.567,208.032,-123.035,546.125,70.5849,-136.643,648.303,69.0558,-84.3199,648.322,17.4127
7,0,-377.41,538.336,558.321,-360.047,538.707,463.36,-322.803,512.876,346.459,-156.392,582.027,129.171,-234.441,536.792,208.026,-122.905,546.34,70.6186,-136.624,648.518,69.1238,-84.2575,648.446,17.5319
8,0,-377.45,538.534,558.325,-359.992,538.898,463.395,-322.798,513.098,346.501,-156.448,582.238,129.201,-234.413,537.069,208.003,-122.997,546.575,70.8675,-136.38,648.634,69.8814,-84.1095,648.687,17.6007
9,0,-377.473,538.684,558.307,-359.954,539.154,463.433,-322.795,513.238,346.498,-156.513,582.478,129.241,-234.508,537.301,208.029,-123.03,546.823,71.0673,-136.4,648.957,69.6211,-83.9575,648.817,17.6586
10,0,-377.461,538.912,558.318,-359.946,539.38,463.446,-322.977,513.462,346.359,-156.558,582.787,129.345,-234.571,537.56,207.966,-122.932,547.082,71.219,-136.622,649.22,69.2957,-83.8207,648.933,17.7612
11,0,-377.439,539.14,558.297,-359.905,539.591,463.471,-323.038,513.653,346.284,-156.714,583.17,129.426,-234.559,537.861,207.919,-122.878,547.361,71.4143,-136.605,649.499,69.4356,-83.8101,649.168,17.8995
12,0,-377.676,539.264,558.206,-359.967,539.82,463.492,-323.084,513.807,346.309,-156.815,583.563,129.539,-234.468,538.12,207.924,-122.832,547.589,71.5635,-136.618,649.887,69.5722,-83.2632,649.413,18.0709
13,0,-377.713,539.493,558.231,-359.951,540.035,463.51,-323.229,513.999,346.254,-156.873,583.899,129.544,-234.516,538.395,207.843,-122.867,547.823,71.6422,-136.557,650.364,69.705,-83.308,649.628,18.3496
14,0,-377.427,539.717,558.283,-359.855,540.169,463.523,-323.362,514.076,346.098,-156.999,584.163,129.606,-234.507,538.542,207.826,-123.015,548.04,71.7535,-136.538,650.731,69.8156,-83.2222,649.84,18.5917
15,0,-377.319,539.94,558.337,-359.908,540.365,463.509,-323.432,514.171,345.995,-157.125,584.548,129.542,-234.564,538.778,207.85,-123.093,548.343,71.8073,-136.397,651.115,69.8794,-82.8134,650.09,18.8856
16,0,-377.57,540.227,558.241,-359.924,540.489,463.574,-323.556,514.334,345.949,-157.244,584.988,129.613,-234.563,539.112,207.835,-123.234,548.841,72.0724,-136.368,651.404,70.0842,-82.4468,650.295,19.2608
17,0,-377.426,540.45,558.381,-359.973,540.684,463.624,-323.659,514.465,345.932,-157.311,585.597,129.805,-234.658,539.444,208.026,-123.227,549.453,72.7031,-136.278,651.783,70.2103,-81.9086,650.572,19.7173
18,0,-377.534,540.652,558.355,-359.98,540.814,463.665,-323.788,514.571,345.918,-157.414,586.294,130.125,-234.623,539.735,207.924,-123.376,550.05,73.0437,-136.284,652.259,70.3242,-81.6039,650.873,20.2135
19,0,-377.47,540.83,558.456,-360,541.011,463.741,-323.882,514.667,345.904,-157.438,586.945,130.331,-234.531,540.194,208.183,-123.577,550.686,73.393,-136.323,652.973,70.5415,-81.3089,651.298,20.5534
20,0,-377.045,540.94,558.702,-360.129,541.124,463.787,-323.98,514.813,345.883,-157.442,587.58,130.579,-234.487,540.606,208.225,-123.6,551.374,74.1657,-136.523,653.737,70.3416,-81.2072,651.877,20.9928
21,0,-376.871,541.115,558.831,-360.186,541.32,463.845,-324.006,514.951,345.881,-157.441,588.151,130.88,-234.486,541.009,208.145,-123.422,551.921,74.5921,-136.584,654.501,70.2767,-80.9135,652.62,21.2328
22,0,-376.989,541.25,559.02,-360.216,541.467,463.907,-324.013,515.066,345.932,-157.523,588.914,131.167,-234.448,541.652,208.32,-123.286,552.611,74.89,-136.562,655.229,70.4567,-80.8486,653.336,21.8269
23,0,-377.012,541.437,559.103,-360.247,541.573,463.981,-323.952,515.273,346.035,-157.535,589.888,131.551,-234.425,542.218,208.441,-123.17,553.67,75.0759,-136.602,655.784,70.7696,-80.6734,653.932,22.2923
24,0,-376.899,541.594,559.366,-360.121,541.743,464.212,-323.885,515.424,346.045,-157.515,591.018,131.956,-234.547,542.602,208.678,-122.942,554.78,75.5254,-136.705,656.724,71.1919,-80.5431,654.717,22.7289
25,0,-376.79,541.747,559.569,-360.084,541.89,464.544,-323.78,515.615,346.272,-157.505,591.787,132.177,-234.352,543.012,208.783,-122.362,555.627,76.6209,-136.803,657.634,71.7384,-80.4202,655.724,23.3724
26,0,-376.727,541.846,559.593,-360.057,542.047,464.558,-323.691,515.849,346.386,-157.447,592.727,132.605,-234.349,543.448,208.916,-122.134,556.635,77.563,-136.94,658.767,72.2012,-80.486,657.027,23.8664
27,0,-376.65,541.961,559.685,-359.991,542.07,464.621,-323.612,516.013,346.501,-157.311,593.725,132.869,-234.162,544.276,209.329,-121.895,557.862,77.8788,-137.253,659.788,72.5289,-80.6778,658.207,24.3052
28,0,-376.681,542.1,559.795,-359.93,542.201,464.754,-323.393,516.204,346.646,-157.222,594.994,133.328,-233.913,545.196,209.607,-121.753,559.047,78.1349,-137.337,661.123,72.9899,-80.881,659.493,24.9412
29,0,-376.641,542.258,559.92,-359.863,542.334,464.881,-323.166,516.359,346.929,-157.055,595.959,133.776,-233.613,545.855,209.858,-121.204,560.354,78.729,-137.481,662.514,73.2418,-80.4408,660.684,25.8206
30,0,-376.542,542.38,560.09,-359.717,542.504,465.112,-323.116,516.599,347.13,-156.916,597.327,134.355,-233.262,546.589,210.091,-120.837,562.025,79.3639,-137.522,663.528,73.6085,-80.167,662.307,26.4066
31,0,-376.444,542.586,560.243,-359.632,542.677,465.286,-322.877,516.725,347.262,-156.894,598.893,135.106,-232.935,547.141,210.331,-120.533,563.506,80.6663,-137.544,665.028,74.2215,-80.462,664.176,27.0307
32,0,-376.421,542.853,560.39,-359.573,542.782,465.354,-322.679,516.972,347.411,-156.719,600.014,135.681,-232.712,547.775,210.448,-119.918,564.995,81.2415,-137.448,666.489,74.9127,-81.0307,666.034,27.3854
33,0,-376.308,543.068,560.493,-359.559,542.922,465.438,-322.465,517.2,347.521,-156.583,601.617,136.297,-232.466,548.694,210.876,-118.624,566.639,81.8082,-137.699,668.057,75.7382,-80.9366,667.975,28.0178
34,0,-376.226,543.221,560.605,-359.519,543.075,465.52,-322.167,517.517,347.718,-156.22,603.076,137.015,-231.99,549.733,211.548,-118.234,568.413,82.7842,-137.96,669.879,76.2499,-80.9932,670.037,28.7351
35,0,-376.22,543.506,560.706,-359.495,543.267,465.599,-321.938,517.697,347.781,-155.926,604.493,137.651,-231.478,550.775,212.14,-117.747,570.558,83.6304,-138.369,671.472,76.7972,-81.0679,672.232,29.5765
36,0,-376.192,543.75,560.749,-359.446,543.494,465.705,-321.681,517.969,347.9,-155.819,606.381,138.376,-230.834,551.788,212.637,-116.515,572.398,84.5513,-138.313,673.41,77.7777,-81.0202,674.484,30.638
37,0,-376.018,543.85,560.867,-359.376,543.702,465.77,-321.266,518.328,347.796,-155.602,607.958,138.91,-230.265,552.884,212.979,-115.968,574.448,85.0606,-138.168,675.083,78.7876,-81.1678,676.877,31.4195
38,0,-376.013,544.022,560.943,-359.262,543.813,465.876,-320.789,518.649,347.901,-155.225,610.043,139.667,-229.847,553.892,213.226,-115.197,576.666,86.0839,-138.178,677.375,79.6519,-81.3531,679.489,32.1511
39,0,-375.926,544.224,560.965,-359.141,544.107,465.961,-320.171,519.09,348.197,-154.977,611.823,140.271,-229.32,554.951,213.62,-114.432,579.017,86.7994,-138.342,679.229,80.375,-81.2303,682.096,33.2396
40,0,-375.795,544.403,561.026,-359.035,544.352,466.04,-319.484,519.541,348.556,-154.614,614.055,140.855,-228.397,556.417,213.863,-113.943,581.517,87.2273,-138.74,681.492,81.1631,-80.8977,684.783,34.4847
41,0,-375.698,544.712,561.075,-358.971,544.546,466.289,-318.822,519.891,348.841,-154.143,615.986,141.593,-227.444,558.028,214.263,-113.139,583.939,88.0023,-139.005,683.897,82.2205,-80.8926,687.646,36.1976
42,0,-375.658,544.935,561.157,-358.719,544.89,466.436,-318.168,520.263,349.077,-153.821,618.267,142.26,-226.738,559.214,214.946,-112.147,586.601,89.3195,-139.074,686.355,83.5929,-81.9888,690.658,36.3839
43,0,-375.571,545.162,561.145,-358.37,545.171,466.648,-317.438,520.814,349.498,-153.54,620.583,142.802,-226.071,560.67,215.636,-110.996,589.424,90.0613,-139.207,689.093,84.6366,-81.9743,693.644,37.3651
44,0,-375.451,545.39,561.18,-357.893,545.474,466.92,-316.365,521.453,349.958,-153.115,622.836,143.739,-225.446,562.285,216.238,-110.448,592.168,90.504,-139.663,691.494,85.2841,-82.0632,697.013,38.2811
45,0,-375.255,545.543,561.266,-357.544,545.745,467.15,-315.466,522.21,350.109,-152.815,625.422,144.627,-224.812,563.572,216.539,-109.589,595.214,91.5158,-140.241,694.239,85.9517,-82.4321,700.555,38.643
46,0,-374.968,545.759,561.433,-357.336,545.978,467.29,-314.725,522.917,350.459,-152.611,627.94,145.236,-224.029,565.378,216.938,-108.884,598.177,92.099,-140.705,696.765,86.4052,-83.1973,703.955,39.5336
47,0,-374.609,546.054,561.609,-357.081,546.215,467.358,-313.677,523.684,350.684,-152.332,630.386,145.932,-223.015,567.018,217.537,-107.588,601.494,92.8829,-141.357,699.333,87.0924,-83.7762,707.692,41.0549
48,0,-374.365,546.355,561.918,-356.791,546.45,467.511,-312.45,524.461,351.154,-152.03,633.297,146.895,-222.349,569.179,218.189,-106.784,604.852,93.9774,-141.739,702.112,87.6664,-84.0927,711.337,41.9855
49,0,-374.103,546.726,562.01,-356.339,546.831,467.562,-311.138,525.208,351.551,-151.726,636.103,147.661,-221.42,571.038,218.742,-105.79,608.322,94.6764,-142.308,704.972,88.522,-84.4294,714.954,43.1141
50,0,-373.801,547.12,562.17,-355.801,547.255,467.701,-310.116,526.083,351.693,-151.418,638.761,148.35,-220.686,572.872,218.812,-105.268,611.945,95.5438,-142.996,708.061,89.1713,-86.324,718.857,43.4437
51,0,-373.404,547.66,562.495,-354.902,547.884,468.047,-309.084,527.024,351.943,-150.952,641.63,149.156,-219.699,574.796,219.521,-104.007,615.501,96.6487,-143.537,710.888,90.0083,-87.779,722.826,42.989
52,0,-372.983,548.129,562.841,-353.81,548.599,468.772,-307.92,527.997,352.648,-150.677,644.633,149.855,-218.592,577.107,220.413,-103.199,619.054,97.0962,-144.325,713.776,90.6928,-87.6132,726.985,44.5861
53,0,-372.719,548.568,563.084,-352.959,549.248,469.233,-306.868,528.858,352.91,-150.289,647.892,150.715,-217.7,578.946,221.162,-102.285,622.937,97.9225,-145.439,717.02,91.1596,-87.7911,731.255,46.8068
54,0,-372.458,548.944,563.196,-352.328,549.85,469.359,-305.781,529.875,353.379,-150.05,650.785,151.517,-216.578,581.238,221.894,-101.262,626.927,98.8974,-146.214,720.352,91.6305,-88.8898,735.422,47.76
55,0,-372.173,549.331,563.375,-351.868,550.167,469.363,-304.472,531.089,353.71,-149.838,653.785,152.069,-215.595,583.056,222.404,-99.9767,630.589,100.162,-147.212,723.546,92.4473,-90.6528,739.591,47.4597
56,0,-371.785,549.722,563.551,-351.325,550.802,469.534,-303.328,532.024,353.849,-149.572,656.931,153.014,-214.614,585.197,222.746,-99.2391,634.952,100.89,-147.976,726.532,93.5765,-92.0317,743.948,48.359
57,0,-371.502,550.206,563.609,-350.564,551.769,469.881,-301.766,533.006,354.524,-149.419,660.227,153.776,-213.621,587.606,223.56,-98.9476,639.019,100.766,-148.892,729.628,94.6058,-93.3871,748.292,48.9599
58,0,-371.099,550.795,563.632,-349.911,552.618,470.005,-300.753,533.971,354.729,-149.34,663.385,154.469,-212.849,589.946,224.36,-98.2466,643.335,101.405,-149.675,733.003,95.1518,-94.9794,752.807,49.5356
59,0,-371.15,551.395,563.76,-349.272,553.404,470.027,-299.554,535.295,355.178,-149.027,666.915,155.507,-211.91,592.579,224.583,-97.3652,647.444,102.639,-151.073,736.679,95.5653,-95.9077,757.204,50.6107
60,0,-370.785,551.917,563.599,-348.93,553.951,469.982,-298.176,536.353,355.607,-148.991,670.394,156.343,-211.171,594.997,225.003,-96.5332,651.818,103.226,-152.089,739.866,96.3547,-97.2543,761.669,52.0113
61,0,-370.465,552.435,563.5,-348.227,554.583,470.341,-296.922,537.718,355.815,-148.758,673.742,156.782,-210.025,597.56,226.043,-95.9858,656.328,104.232,-153.257,743.182,97.1763,-98.7725,766.077,52.6788
62,0,-369.956,552.955,563.428,-346.712,555.594,471.176,-295.23,539.75,356.154,-148.494,677.246,157.612,-209.131,600.159,226.795,-95.755,660.929,104.631,-154.037,746.553,98.3348,-99.8009,770.509,53.434
63,0,-369.423,553.416,563.579,-345.73,556.609,471.475,-293.834,541.257,356.342,-148.559,680.685,158.159,-208.133,602.906,227.359,-95.3418,665.496,105.32,-155.177,750.308,99.2045,-101.382,775.183,54.3262
64,0,-368.684,554.005,563.949,-345.057,557.505,471.739,-292.656,542.811,356.528,-148.595,684.178,158.92,-207.133,605.304,227.899,-94.806,669.715,105.962,-156.474,753.674,99.4847,-103.422,779.954,54.9593
