Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,17.0438,8.04948,-0.00207563,10.5539,7.31594,36.3518,9.23777,51.7491,-86.9761,-17.5034,-19.927,-122.176,424.795,31.9224,631.047
2,0,7.12253,21.4126,-1.68693,9.46103,24.7953,52.235,8.08233,53.1243,-89.7056,-17.6961,-20.6112,-121.193,424.522,31.8174,630.486
3,0,9.96533,24.5522,-5.92936,9.99919,24.6337,53.254,8.08127,53.164,-90.1294,-17.7233,-20.7321,-121.225,424.301,31.7862,631.183
4,0,11.0152,26.1577,-4.58231,10.2252,25.0133,53.9651,7.94563,53.255,-90.1935,-17.5671,-21.0863,-121.134,424.114,31.9476,631.198
5,0,11.4583,26.6824,-4.67913,10.1836,25.7723,54.0158,7.78099,53.4732,-89.9617,-17.5194,-21.429,-121.021,423.889,32.0882,631.022
6,0,11.8783,26.7387,-6.82057,9.85821,26.5932,53.8619,7.50989,53.5527,-89.6921,-17.5733,-21.8777,-121.005,423.67,32.0969,631.232
7,0,12.3823,28.4131,-1.83056,9.86993,26.8536,54.7446,7.14366,53.4815,-89.5524,-17.6114,-22.3598,-120.974,423.463,32.1814,631.347
8,0,12.7033,28.4394,-3.85374,9.72575,27.5196,54.6297,6.93725,53.5591,-89.4188,-17.5715,-22.797,-120.875,423.224,32.3641,631.15
9,0,12.7003,28.1423,-4.90273,9.64014,28.4666,54.3385,6.84844,53.8173,-89.0679,-17.4779,-23.2051,-120.749,423.033,32.5672,630.874
10,0,13.7905,30.1447,-2.25727,9.85298,28.7925,55.0791,6.74135,53.9876,-88.9388,-17.4341,-23.6063,-120.595,422.761,32.7313,630.918
11,0,14.9684,31.7466,-2.85538,9.97544,29.4178,55.4545,6.69128,54.1516,-88.956,-17.3502,-24.1282,-120.434,422.49,32.8821,631.015
12,0,17.6179,38.5064,0.344907,8.59938,43.3602,67.9493,5.57909,55.3753,-91.5661,-17.5466,-24.7283,-119.522,422.25,32.8341,630.783
13,0,18.3248,39.4531,-0.847943,8.47856,43.958,68.0543,5.36531,55.4876,-91.0933,-17.4704,-25.1413,-119.524,421.898,33.038,630.637
14,0,27.3321,53.6313,-4.68765,4.34346,63.4668,91.8498,5.14313,55.2525,-90.9076,-17.331,-25.8073,-119.734,421.711,33.1195,630.699
15,0,27.9721,54.3885,-7.10576,4.34701,63.7701,92.4241,5.04728,55.316,-90.5954,-17.2295,-26.2697,-119.69,421.396,33.3613,630.751
16,0,32.0123,54.1102,-3.35444,5.29069,66.3696,94.569,4.56289,55.8916,-92.2488,-17.2228,-26.8943,-119.129,421.115,33.4135,630.522
17,0,35.9155,56.3305,-4.99543,1.77401,72.0477,102.58,5.54255,55.5343,-90.4516,-17.1652,-27.5868,-118.542,420.895,33.5764,630.561
18,0,42.2612,59.4425,-10.5827,-1.63944,82.5313,114.479,5.60512,55.6469,-90.0702,-17.2688,-28.1279,-118.075,420.506,33.7018,630.593
19,0,51.1145,54.3999,-3.35981,-4.76516,83.1968,116.822,6.35079,55.1091,-88.3081,-17.272,-28.7161,-117.832,420.133,34.017,630.457
20,0,49.6246,50.0325,-0.878614,-4.85359,83.0154,113.128,6.52824,55.4163,-87.738,-17.243,-29.2657,-117.401,419.819,34.314,630.589
21,0,15.715,15.4694,11.7852,15.187,28.7739,25.718,1.88099,57.4892,-101.787,-14.5583,-32.6761,-117.796,425.733,33.0972,630.594
22,0,20.2888,15.3208,1.0641,13.1559,21.1555,24.5061,3.36578,57.6995,-94.4892,-16.74,-30.7655,-117.337,419.15,34.955,629.283
23,0,20.211,15.4008,0.355663,12.9445,23.7123,23.0723,2.11694,58.4,-96.3899,-16.5985,-31.3321,-117.253,418.819,35.275,629.093
24,0,19.2188,17.7905,2.29532,12.7715,18.8199,24.6485,4.07231,56.873,-92.6025,-16.242,-32.3504,-117.09,418.682,35.5594,628.618
25,0,19.3299,18.4369,0.9101,12.8758,16.4642,25.0381,5.449,56.1337,-90.7322,-15.927,-33.2768,-116.771,418.535,35.8591,628.476
26,0,19.5229,19.2814,3.0444,11.9226,14.8353,26.2049,6.09322,55.8428,-88.7077,-16.1596,-33.5797,-116.377,418.086,35.9792,629.003
27,0,20.5855,28.8143,4.1757,10.4548,21.7682,37.5795,7.01901,55.7495,-87.1533,-16.1548,-34.1473,-115.89,417.624,36.2126,628.544
28,0,19.6958,20.3901,-0.717068,12.3302,15.6426,23.9998,6.03919,56.068,-89.8077,-15.7064,-35.3011,-115.915,417.309,36.6651,627.57
29,0,19.3955,20.8089,1.11914,12.0535,16.1261,22.7971,5.60434,56.2523,-89.8696,-15.7161,-35.796,-116.045,416.887,36.9356,627.744
30,0,19.1155,20.9659,1.62509,12.5408,15.6858,22.6087,5.90111,56.2248,-90.0337,-15.561,-36.4934,-115.679,416.364,37.3912,627.43
31,0,18.7037,19.9111,-0.303864,12.2016,15.3682,21.3638,6.05918,56.1908,-89.6635,-15.563,-37.1858,-115.4,415.759,37.6878,627.005
32,0,18.7318,20.2187,-0.110922,11.7726,21.4787,18.5041,3.20413,58.2477,-94.4922,-15.7583,-37.4103,-115.287,415.188,37.885,627.423
33,0,19.2196,22.1167,2.12047,12.1393,16.2174,20.5569,5.91031,56.622,-90.2566,-15.2983,-38.2821,-115.035,414.84,38.2728,626.541
