Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,7.14927,-6.87352,-0.0110193,-28.7197,-28.7664,41.1116,20.4429,40.1851,-44.4502,-19.0321,-14.0199,-126.1,426.851,34.7642,634.802
2,0,7.80431,-7.30775,0.832917,-28.354,-28.3924,41.3106,20.4629,40.3071,-44.2254,-19.0727,-14.2834,-125.891,426.677,34.6961,634.94
3,0,7.48538,-7.34333,-3.37159,-27.9138,-27.5919,41.0096,20.543,40.6638,-43.6966,-19.0502,-14.5395,-125.712,426.511,34.7343,635.213
4,0,7.97201,-7.61853,-1.09484,-27.7583,-27.5062,41.1994,20.541,40.8333,-43.4855,-19.1331,-14.8343,-125.37,426.235,34.7596,635.252
5,0,7.71827,-7.38561,-0.242599,-27.7348,-27.355,41.0172,20.3724,41.0782,-43.088,-19.1905,-15.1148,-125.01,426.039,34.8279,635.375
6,0,8.03426,-7.48935,1.55297,-27.5582,-27.1546,41.0716,20.6209,41.3979,-42.8754,-19.291,-15.3114,-124.355,425.758,34.9008,635.427
7,0,8.21687,-7.8157,-1.31946,-27.0815,-26.47,41.021,21.0313,41.6505,-42.7106,-19.178,-15.6293,-123.807,425.533,34.9237,635.39
8,0,8.68385,-8.18929,-1.21872,-26.8195,-26.2356,41.1904,21.2673,41.8154,-42.6273,-19.2092,-16.0575,-123.13,425.302,34.9257,635.331
9,0,11.5074,-28.5469,-12.1665,-2.59518,19.1373,30.1675,4.44365,58.7065,-86.2734,-19.8254,-15.3763,-122.455,424.584,35.0031,636.314
10,0,-1.06434,-11.4948,-2.75709,21.1228,-6.33202,16.1044,3.29305,59.6299,-90.9334,-19.7539,-15.7274,-121.838,424.374,34.9735,636.917
11,0,15.1649,-30.9325,9.12444,25.7603,-26.2924,-10.7813,4.11692,59.7455,-89.9102,-19.6791,-16.1323,-121.263,424.163,35.0371,636.877
12,0,28.6799,-38.69,8.36492,25.8706,-35.4178,-26.0039,3.69533,60.2086,-89.5528,-19.7624,-16.2951,-121.06,423.768,35.2787,637.019
13,0,49.5735,-50.6307,19.9356,27.2491,-52.2873,-52.9395,2.80412,60.0679,-90.6661,-19.6814,-16.9783,-120.927,423.634,35.4743,636.962
14,0,71.4586,-59.0039,39.4296,28.6035,-72.2361,-84.6433,3.1053,59.8209,-89.6107,-19.7382,-17.5037,-120.688,423.293,35.6426,637.023
15,0,87.4433,-54.8549,48.1397,26.2081,-82.8452,-103.857,2.70486,60.242,-90.135,-19.7274,-17.8939,-120.196,423.024,35.9753,636.895
16,0,87.826,-48.0166,18.9605,32.6043,-79.3471,-99.1994,3.42605,59.8932,-86.1805,-19.7415,-18.4338,-119.743,422.681,36.4175,636.114
17,0,83.3924,-41.9824,5.44813,35.422,-77.1831,-94.6683,3.67223,60.1824,-85.758,-19.7667,-18.8647,-119.053,422.28,36.6814,636.107
18,0,80.3236,-38.2027,-0.975424,37.5516,-76.2162,-90.0737,5.06057,59.8399,-83.7943,-19.6476,-19.4381,-118.389,422.052,36.9498,635.676
