Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
1,0,398.293,-83.2025,482.28848,333.96802,0.7022374,331.563,283.943,70.1502,195.344,162.464,219.676,60.128532,207.056,166.0,112.478004,193.64,263.406,31.0361,79.541115,239.672,29.548498,44.480587,283.157,17.7364
2,0,400.7412,-83.73582,482.06052,336.07123,0.7232002,331.00854,283.74298,69.07624,195.06264,164.34734,218.414,59.78479,210.51395,164.39581,111.0918,197.02261,262.2117,30.17563,80.28658,238.78532,29.383713,55.530342,282.79803,17.844116
3,0,402.78296,-84.309715,481.7356,337.46173,0.29370463,330.6067,284.90863,68.13926,194.52727,166.66737,217.47998,59.174034,211.8029,163.1974,110.30473,198.47636,260.98703,29.752048,84.147156,238.18175,29.163208,60.610783,282.62408,18.08499
4,0,404.6048,-84.979004,481.4166,338.93396,-0.19936301,330.2802,285.94717,67.25749,194.02632,168.56366,216.72455,58.60671,213.14021,162.21837,109.76728,199.82587,259.87372,29.5316,87.0704,237.75887,28.81486,63.827576,282.41312,18.315088
5,0,406.27332,-85.69564,481.12564,340.38443,-0.66387457,330.00867,286.9703,66.44688,193.5976,170.06157,216.08754,58.117493,214.36821,161.36082,109.36082,201.06216,258.85907,29.445927,89.20596,237.43575,28.380459,66.02334,282.13004,18.509186
6,0,407.8051,-86.4205,480.86966,341.76718,-1.0822248,329.78143,287.95767,65.71679,193.24075,171.21991,215.52849,57.69685,215.44977,160.57693,109.03634,202.14407,257.9156,29.441042,90.79832,237.16463,27.8908,67.57011,281.76535,18.654627
7,0,409.2069,-87.128365,480.65094,343.0573,-1.4500626,329.592,288.8828,65.06812,192.94797,172.09325,215.02113,57.33048,216.37386,159.84497,108.770515,203.0531,257.02182,29.476795,92.005714,236.91722,27.366966,68.67387,281.31973,18.749615
8,0,410.48413,-87.803444,480.4699,344.24036,-1.7652367,329.43607,289.72437,64.49778,192.71028,172.72025,214.54881,57.00644,217.13557,159.15555,108.550446,203.78477,256.16357,29.52378,92.92274,236.67592,26.823277,69.45241,280.79767,18.797754
9,0,411.64206,-88.43535,480.32614,345.30676,-2.0258632,329.3104,290.46524,64.001686,192.51875,173.12527,214.10085,56.715614,217.73033,158.50494,108.36789,204.33751,255.33275,29.56042,93.603935,236.42949,26.269405,69.9705,280.20456,18.804852
10,0,412.68582,-89.016685,480.2186,346.24963,-2.2299244,329.21204,291.0908,63.57596,192.36482,173.32182,213.67055,56.45098,218.15245,157.89212,108.21654,204.70824,254.52538,29.570704,94.078,236.17033,25.711922,70.25997,279.546,18.777258
