Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
1,0,407.70847,-86.49774,472.32184,341.77878,-0.4240377,323.6317,284.00214,66.163605,190.88202,163.17609,218.01305,56.79817,209.33133,161.74399,108.84213,191.37941,262.74982,26.575455,80.71479,238.63156,29.592867,50.041763,282.5566,20.256182
2,0,408.99927,-86.76407,470.8975,342.5391,-0.6947764,322.70822,284.01767,65.91272,190.48167,163.21748,217.83472,56.358387,209.53532,161.35716,108.58572,191.05255,262.6308,26.087666,80.88552,238.4371,29.55761,49.70704,282.37396,20.584913
3,0,410.35886,-87.02908,469.50406,343.36765,-0.93860584,321.85233,284.18274,65.74012,190.2214,163.5786,217.7153,55.884468,209.95454,160.96886,108.4031,191.03583,262.55756,25.579912,81.23524,238.33635,29.496212,49.492405,282.2798,20.925198
4,0,411.80432,-87.30951,468.1461,344.25702,-1.1726422,321.01678,284.4464,65.630035,189.98288,163.998,217.64163,55.377712,210.39049,160.61247,108.203606,191.14845,262.54004,25.072716,81.580025,238.30557,29.397844,49.313633,282.26498,21.254099
5,0,413.34192,-87.60874,466.82336,345.18555,-1.3975965,320.18546,284.75565,65.55881,189.73024,164.39064,217.59828,54.84167,210.78314,160.29112,107.96572,191.2937,262.55457,24.578314,81.843124,238.31656,29.259089,49.1146,282.3063,21.5566
6,0,414.93896,-87.935616,465.53275,346.12802,-1.6164463,319.3578,285.0808,65.51203,189.45648,164.74744,217.57072,54.281483,211.12367,160.00049,107.68801,191.43837,262.58334,24.101698,82.03058,238.35152,29.087084,48.902267,282.38977,21.835688
7,0,416.5485,-88.29797,464.2696,347.06628,-1.8359979,318.53696,285.41022,65.48021,189.1617,165.07332,217.54826,53.710243,211.41978,159.73752,107.377914,191.56342,262.61823,23.645473,82.17745,238.39668,28.898514,48.699627,282.50467,22.093681
8,0,418.1352,-88.69842,463.03003,347.97986,-2.0625565,317.7253,285.72864,65.45411,188.85199,165.37733,217.52603,53.136364,211.67593,159.49733,107.0431,191.67427,262.65152,23.209309,82.29786,238.44498,28.69997,48.50731,282.63766,22.337694
9,0,419.67578,-89.13609,461.80856,348.8643,-2.2995918,316.9227,286.0336,65.43035,188.53137,165.65796,217.50446,52.57331,211.89427,159.27971,106.6967,191.75508,262.68408,22.792038,82.39852,238.4901,28.503284,48.318592,282.77698,22.565577
10,0,421.16354,-89.6004,460.60468,349.71677,-2.5430021,316.13046,286.31906,65.40908,188.2044,165.90942,217.48395,52.024918,212.08136,159.0814,106.34474,191.80768,262.716,22.394356,82.48165,238.52953,28.306803,48.120865,282.91412,22.777208
