Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,7.21205,-3.97362,0.00756787,-41.9409,-31.3188,-321.448,21.5494,35.9426,-50.517,-16.9152,-19.3422,-124.968,435.122,25.1109,622.822
2,0,8.69568,-2.74413,0.304044,-42.4984,-32.2368,-321.347,21.3919,36.3884,-50.2793,-17.0502,-19.0139,-124.727,434.591,25.5207,622.8
3,0,8.4601,-1.85749,0.197901,-42.5602,-32.1771,-321.699,21.1393,36.6277,-49.9398,-17.1485,-19.2975,-124.636,434.691,24.6835,622.967
4,0,8.34763,-1.17352,0.141545,-42.5628,-32.0538,-321.981,21.0112,36.9441,-49.5747,-17.1453,-19.3255,-124.534,434.566,24.5744,623.015
5,0,-24.1531,5.08987,-44.6354,2.28466,-20.0265,-323.735,13.703,50.1111,-82.2971,-17.1868,-18.2565,-123.745,434.275,24.5198,624.716
6,0,-12.7154,-13.3873,9.53353,5.96248,-10.3996,-329.566,8.4331,52.8205,-93.4116,-17.259,-18.6449,-123.786,434.147,24.2491,624.923
7,0,-13.2288,-10.3956,-18.5236,5.4969,-7.44723,-326.059,8.46297,53.1148,-93.3197,-17.0853,-18.73,-123.636,434.039,24.1699,624.974
8,0,-15.0452,-8.96052,-35.9448,4.6662,-4.29168,-323.553,8.5897,53.801,-93.0299,-16.9677,-18.614,-123.27,433.841,24.1331,625.193
9,0,-16.8316,-8.317,-44.8685,4.20582,-1.71157,-321.705,8.45946,54.3806,-93.0055,-16.8797,-18.6379,-122.908,433.686,24.1332,625.253
10,0,-18.8545,-7.03833,-54.9791,3.67067,0.603484,-318.364,8.22436,54.5733,-93.2871,-16.9026,-18.7575,-122.592,433.484,24.1086,625.313
11,0,-21.1147,-5.46702,-60.048,3.00975,3.27385,-315.965,8.00869,54.9493,-93.1341,-16.9263,-18.8029,-122.402,433.198,23.9958,625.532
12,0,-14.6816,-6.49355,9.73197,19.471,34.0594,-328.494,-4.1816,63.1263,-124.138,-16.191,-20.0016,-122.751,433.422,24.2056,623.928
13,0,-18.0062,-6.43636,39.0068,17.7797,34.8756,-336.312,-7.40136,64.4604,-126.181,-16.3386,-20.0198,-122.718,433.045,24.2068,623.742
14,0,-17.999,-5.1163,22.1978,18.1684,38.7073,-332.874,-7.92219,64.8807,-126.053,-16.2895,-20.0582,-122.607,432.819,24.248,623.802
15,0,-18.8903,-2.28798,-3.22988,19.0369,42.4416,-328.132,-8.30565,65.1605,-125.777,-16.2982,-20.1291,-122.392,432.502,24.3393,623.798
16,0,-17.0604,-1.9195,-0.675823,-2.61712,3.26123,-318.98,6.82686,55.4517,-88.5835,-16.6545,-19.7488,-122.253,432.045,24.2206,624.535
17,0,-21.3826,36.1398,1.39298,-1.60074,26.184,-292.328,5.53752,56.1671,-94.3866,-16.5209,-19.8566,-121.903,431.883,24.0049,625.625
18,0,-22.4344,38.918,-2.2231,-1.8561,28.1961,-290.148,5.6777,56.4476,-93.5488,-16.3693,-19.9504,-121.74,431.769,24.0974,625.651
19,0,-23.3709,41.777,-6.76804,-1.91559,30.3688,-288.074,5.78809,56.8125,-92.8956,-16.2163,-20.0093,-121.623,431.625,24.2127,625.664
20,0,-21.0677,43.5414,-2.332,-1.9601,35.0805,-285.317,5.04874,57.1721,-94.0131,-16.1326,-20.3375,-121.48,431.43,24.1673,625.509
21,0,-19.7284,42.202,-0.860519,13.6302,44.4161,-285.302,2.41111,59.9531,-106.112,-15.0514,-21.7488,-121.427,431.728,24.3284,624.12
22,0,-18.9047,40.6473,4.88146,19.9716,55.6103,-289.164,-3.09245,63.2388,-114.818,-15.1617,-21.933,-121.219,431.408,24.3074,624.197
23,0,-19.3324,41.5284,0.991114,3.61251,40.2629,-287.197,1.17049,59.2203,-100.319,-16.2728,-21.3375,-120.61,430.555,23.9757,625.721
24,0,-18.1593,40.2841,1.47919,2.72977,35.2088,-288.233,2.63272,58.8617,-97.6827,-16.2138,-21.5001,-119.933,430.218,24.0691,625.753
25,0,-19.0318,43.3193,-1.89195,2.0785,36.1493,-286.395,3.12787,59.0905,-96.2548,-16.2916,-21.6133,-119.656,429.823,24.0662,625.728
26,0,-18.2227,40.3641,0.135769,1.75952,36.6319,-287.368,3.38086,59.0393,-95.3589,-16.254,-21.9282,-119.488,429.441,24.1445,625.614
27,0,-19.0182,44.0084,-5.54482,1.21444,37.7656,-285.055,3.56272,58.977,-94.4904,-16.2137,-22.2655,-119.354,429.108,24.1416,625.825
28,0,-20.2393,55.093,-10.1421,25.271,75.6778,-277.613,-9.80082,66.4571,-121.201,-15.5266,-23.4245,-119.558,429.153,24.4884,624.157
29,0,-17.951,67.5143,-16.3655,27.7008,86.9945,-263.288,-10.6956,66.8714,-122.068,-15.4108,-23.7336,-119.392,428.866,24.4506,624.156
30,0,-18.2061,69.8168,-18.642,27.6073,87.7994,-261.195,-10.7056,66.8602,-121.632,-15.3139,-23.9605,-119.263,428.533,24.5863,624.07
31,0,-18.1931,70.2494,-18.1011,27.2038,88.7043,-260.401,-10.7238,66.6904,-121.059,-15.2356,-24.3467,-119.127,428.215,24.6645,624.032
32,0,-18.2363,71.2778,-18.7597,27.1242,89.3728,-259.07,-10.5822,66.5743,-120.399,-15.1657,-24.7119,-118.955,427.878,24.6856,623.95
33,0,-18.1871,71.82,-21.2613,27.0303,90.759,-258.249,-10.4702,66.8234,-119.893,-15.0338,-25.0442,-118.709,427.541,24.7436,624.014
34,0,-18.0944,72.1364,-23.7935,26.7663,91.5742,-257.624,-10.2894,67.0785,-119.326,-14.9977,-25.3093,-118.271,427.197,24.9064,623.863
35,0,-18.3446,76.2151,-28.4184,26.8065,92.3958,-254.227,-10.2025,67.1979,-118.983,-15.0388,-25.6507,-117.867,426.805,24.9772,624.028
36,0,-10.3987,88.8925,-33.3359,22.6055,98.725,-236.936,-8.36137,65.8564,-116.505,-15.0915,-26.3412,-117.785,426.471,24.81,624.364
37,0,-10.2178,90.5276,-33.8786,23.1812,100.588,-235.94,-8.73052,65.8827,-116.038,-15.0549,-26.6519,-117.78,426.019,24.9406,624.402
38,0,-10.0304,91.6195,-36.0401,23.2808,101.442,-234.81,-8.77172,65.9046,-115.612,-14.9767,-26.9288,-117.648,425.608,25.0722,624.213
39,0,-9.79797,93.5809,-39.4327,24.1889,101.874,-232.274,-8.61034,66.143,-115.61,-14.686,-27.2576,-117.496,425.269,25.2062,624.057
40,0,-9.59439,94.4138,-41.6662,24.3731,102.228,-231.141,-8.50701,66.1644,-115.532,-14.4249,-27.6343,-117.272,425.069,25.4218,623.849
41,0,-9.63924,92.4582,-40.4955,24.313,103.499,-232.228,-8.46927,66.0431,-114.974,-14.3023,-28.038,-117.099,424.804,25.544,623.813
42,0,-9.4068,93.6392,-44.0105,23.7604,103.678,-230.255,-8.13063,66.0371,-114.516,-14.2826,-28.4538,-116.803,424.445,25.6845,623.866
43,0,-9.07843,95.9433,-47.4743,23.3234,104.146,-227.93,-7.92213,66.118,-114.272,-14.212,-28.8721,-116.451,424.209,25.8311,624.143
44,0,-9.09852,94.4388,-47.9593,23.3918,105.225,-228.555,-7.93143,66.1025,-114.066,-14.3529,-29.2976,-116.114,423.843,25.8652,624.326
45,0,-7.95269,93.7875,-45.9878,20.9176,104.95,-228.427,-7.12938,65.7063,-112.671,-14.5712,-29.809,-115.626,423.317,25.8174,624.335
46,0,12.5454,111.723,-62.2254,-12.6402,117.911,-206.59,-0.0934317,61.6142,-97.8782,-15.0605,-29.5286,-115.222,422.719,25.6328,625.438
47,0,12.9384,112.215,-65.9259,-15.0006,117.056,-206.246,0.202444,61.2091,-97.5714,-14.8615,-29.9338,-115.099,422.271,25.804,625.084
48,0,30.8838,109.176,-65.395,-24.9389,123.061,-201.861,3.1209,60.1261,-92.5894,-14.4501,-30.2154,-115.127,421.988,25.8794,625.169
49,0,31.4271,109.725,-68.3845,-25.6543,123.711,-201.292,3.33905,60.1653,-91.9783,-14.3424,-30.5314,-115.023,421.66,26.012,625.149
50,0,31.493,109.416,-70.2487,-25.9793,123.464,-200.847,3.54504,60.0261,-91.9053,-14.1287,-30.9341,-114.881,421.322,26.2193,625.139
51,0,44.0098,97.1984,-49.715,-22.7066,117.244,-207.247,4.13172,60.2217,-91.5704,-14.1136,-31.3951,-114.176,421.065,26.3229,625.278
52,0,45.0359,96.3446,-49.471,-22.8417,118.107,-207.346,4.64686,60.4816,-91.0026,-14.2455,-31.6859,-113.625,420.573,26.5035,625.405
53,0,44.2794,94.2109,-48.5111,-10.4216,113.134,-200.354,2.84568,61.8328,-98.6298,-13.3233,-32.9615,-113.725,420.566,26.8693,624.46
54,0,51.3407,87.7284,-31.6811,14.6129,118.546,-201.138,-4.85719,65.1943,-109.853,-13.731,-33.3218,-113.766,419.983,27.0422,624.079
55,0,50.8076,86.8926,-30.6731,14.8832,119.656,-201.944,-4.79288,64.9586,-109.378,-13.6093,-33.6073,-113.782,419.408,27.2546,624.098
56,0,50.7023,86.5819,-33.5283,14.5908,120.398,-201.233,-4.77183,64.8339,-109.002,-13.3986,-33.8041,-113.828,418.965,27.5731,624.232
57,0,62.8787,84.4336,-74.0499,-26.4138,146.054,-179.535,1.336,60.967,-95.3663,-13.7617,-33.3393,-113.901,418.491,27.4854,625.288
58,0,72.5327,69.6797,-61.3275,-32.2352,143.874,-183.15,3.26603,60.0686,-93.1853,-13.5333,-34.0214,-113.434,418.235,27.4831,625.187
59,0,81.0818,56.1478,-26.1501,-28.1116,127.396,-198.53,5.00981,59.1718,-90.7451,-13.3947,-34.7179,-113.037,417.94,27.5561,625.093
60,0,81.1796,56.1209,-23.9995,-26.981,128.42,-198.877,5.3448,59.299,-90.121,-13.4442,-34.9754,-112.764,417.537,27.7055,625.133
